B73_Cluster	B73_Genes	PH207_Cluster	PH207_Genes
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0975	Zm00001d031351,Zm00001d031366,Zm00001d031372,Zm00001d031381,Zm00001d031384,Zm00001d031395,Zm00001d031407	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
Cluster_0976	Zm00001d031359,Zm00001d031377,Zm00001d031398	NA	Zm00008a003166
Cluster_0976	Zm00001d031359,Zm00001d031377,Zm00001d031398	NA	Zm00008a003166
Cluster_0976	Zm00001d031359,Zm00001d031377,Zm00001d031398	NA	Zm00008a003166
Cluster_0976	Zm00001d031359,Zm00001d031377,Zm00001d031398	Cluster_0129	Zm00008a003172,Zm00008a003179,Zm00008a003188
Cluster_0976	Zm00001d031359,Zm00001d031377,Zm00001d031398	Cluster_0129	Zm00008a003172,Zm00008a003179,Zm00008a003188
Cluster_0976	Zm00001d031359,Zm00001d031377,Zm00001d031398	Cluster_0129	Zm00008a003172,Zm00008a003179,Zm00008a003188
Cluster_0976	Zm00001d031359,Zm00001d031377,Zm00001d031398	Cluster_0129	Zm00008a003172,Zm00008a003179,Zm00008a003188
Cluster_0976	Zm00001d031359,Zm00001d031377,Zm00001d031398	Cluster_0129	Zm00008a003172,Zm00008a003179,Zm00008a003188
Cluster_0976	Zm00001d031359,Zm00001d031377,Zm00001d031398	Cluster_0129	Zm00008a003172,Zm00008a003179,Zm00008a003188
Cluster_0976	Zm00001d031359,Zm00001d031377,Zm00001d031398	Cluster_0129	Zm00008a003172,Zm00008a003179,Zm00008a003188
Cluster_0978	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200
Cluster_0978	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200
Cluster_0978	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200
Cluster_0978	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200
Cluster_0978	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200
Cluster_0978	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200
Cluster_0978	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200
Cluster_0978	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200
Cluster_0978	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200
Cluster_0978	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200
Cluster_0978	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200
Cluster_0978	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200
Cluster_0978	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200
Cluster_0978	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200
Cluster_0978	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200
Cluster_0978	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200
Cluster_0978	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200
Cluster_0978	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200
Cluster_0978	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200
Cluster_0978	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200
Cluster_0978	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200
Cluster_0978	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200
Cluster_0979	Zm00001d031498,Zm00001d031499,Zm00001d031500,Zm00001d031501	Cluster_0132	Zm00008a003265,Zm00008a003266,Zm00008a003267
Cluster_0979	Zm00001d031498,Zm00001d031499,Zm00001d031500,Zm00001d031501	Cluster_0132	Zm00008a003265,Zm00008a003266,Zm00008a003267
Cluster_0979	Zm00001d031498,Zm00001d031499,Zm00001d031500,Zm00001d031501	Cluster_0132	Zm00008a003265,Zm00008a003266,Zm00008a003267
Cluster_0979	Zm00001d031498,Zm00001d031499,Zm00001d031500,Zm00001d031501	Cluster_0132	Zm00008a003265,Zm00008a003266,Zm00008a003267
Cluster_0979	Zm00001d031498,Zm00001d031499,Zm00001d031500,Zm00001d031501	Cluster_0132	Zm00008a003265,Zm00008a003266,Zm00008a003267
Cluster_0980	Zm00001d031519,Zm00001d031520	NA	Zm00008a003279
Cluster_0981	Zm00001d031549,Zm00001d031550	Cluster_0134	Zm00008a003306,Zm00008a003307,Zm00008a003308
Cluster_0981	Zm00001d031549,Zm00001d031550	Cluster_0134	Zm00008a003306,Zm00008a003307,Zm00008a003308
Cluster_0981	Zm00001d031549,Zm00001d031550	Cluster_0134	Zm00008a003306,Zm00008a003307,Zm00008a003308
Cluster_0982	Zm00001d031555,Zm00001d031556	NA	Zm00008a003312
Cluster_0983	Zm00001d031638,Zm00001d031639	Cluster_0137	Zm00008a003374,Zm00008a003375
Cluster_0983	Zm00001d031638,Zm00001d031639	Cluster_0137	Zm00008a003374,Zm00008a003375
Cluster_0983	Zm00001d031638,Zm00001d031639	Cluster_0137	Zm00008a003374,Zm00008a003375
Cluster_0984	Zm00001d031669,Zm00001d031672	NA	Zm00008a003395
Cluster_0984	Zm00001d031669,Zm00001d031672	NA	Zm00008a003395
Cluster_0986	Zm00001d031771,Zm00001d031772	NA	Zm00008a003459
Cluster_0986	Zm00001d031771,Zm00001d031772	NA	Zm00008a003459
Cluster_0987	Zm00001d031778,Zm00001d031779	NA	Zm00008a003463
Cluster_0987	Zm00001d031778,Zm00001d031779	NA	Zm00008a003463
Cluster_0988	Zm00001d031801,Zm00001d031804,Zm00001d031805	Cluster_0138	Zm00008a003480,Zm00008a003482
Cluster_0988	Zm00001d031801,Zm00001d031804,Zm00001d031805	Cluster_0138	Zm00008a003480,Zm00008a003482
Cluster_0989	Zm00001d031811,Zm00001d031813,Zm00001d031814,Zm00001d031815	Cluster_0139	Zm00008a003488,Zm00008a003489,Zm00008a003490,Zm00008a003491
Cluster_0989	Zm00001d031811,Zm00001d031813,Zm00001d031814,Zm00001d031815	Cluster_0139	Zm00008a003488,Zm00008a003489,Zm00008a003490,Zm00008a003491
Cluster_0989	Zm00001d031811,Zm00001d031813,Zm00001d031814,Zm00001d031815	Cluster_0139	Zm00008a003488,Zm00008a003489,Zm00008a003490,Zm00008a003491
Cluster_0989	Zm00001d031811,Zm00001d031813,Zm00001d031814,Zm00001d031815	Cluster_0139	Zm00008a003488,Zm00008a003489,Zm00008a003490,Zm00008a003491
Cluster_0990	Zm00001d031904,Zm00001d031906,Zm00001d031907	Cluster_0140	Zm00008a003544,Zm00008a003545
Cluster_0990	Zm00001d031904,Zm00001d031906,Zm00001d031907	Cluster_0140	Zm00008a003544,Zm00008a003545
Cluster_0990	Zm00001d031904,Zm00001d031906,Zm00001d031907	Cluster_0140	Zm00008a003544,Zm00008a003545
Cluster_0991	Zm00001d031945,Zm00001d031951,Zm00001d031953	NA	Zm00008a003573
Cluster_0991	Zm00001d031945,Zm00001d031951,Zm00001d031953	NA	Zm00008a003573
Cluster_0992	Zm00001d031946,Zm00001d031949,Zm00001d031954	Cluster_0141	Zm00008a003574,Zm00008a003575
Cluster_0992	Zm00001d031946,Zm00001d031949,Zm00001d031954	Cluster_0141	Zm00008a003574,Zm00008a003575
Cluster_0992	Zm00001d031946,Zm00001d031949,Zm00001d031954	Cluster_0141	Zm00008a003574,Zm00008a003575
Cluster_0992	Zm00001d031946,Zm00001d031949,Zm00001d031954	Cluster_0141	Zm00008a003574,Zm00008a003575
Cluster_0993	Zm00001d031956,Zm00001d031957	NA	Zm00008a003576
Cluster_0993	Zm00001d031956,Zm00001d031957	NA	Zm00008a003576
Cluster_0994	Zm00001d031986,Zm00001d031988	Cluster_0143	Zm00008a003595,Zm00008a003597
Cluster_0994	Zm00001d031986,Zm00001d031988	Cluster_0143	Zm00008a003595,Zm00008a003597
Cluster_0994	Zm00001d031986,Zm00001d031988	Cluster_0143	Zm00008a003595,Zm00008a003597
Cluster_0994	Zm00001d031986,Zm00001d031988	Cluster_0143	Zm00008a003595,Zm00008a003597
Cluster_0996	Zm00001d032012,Zm00001d032013	NA	Zm00008a040338
Cluster_0997	Zm00001d032024,Zm00001d032032	Cluster_0144	Zm00008a003618,Zm00008a003630
Cluster_0997	Zm00001d032024,Zm00001d032032	Cluster_0144	Zm00008a003618,Zm00008a003630
Cluster_0998	Zm00001d032035,Zm00001d032042	NA	Zm00008a003631
Cluster_0998	Zm00001d032035,Zm00001d032042	NA	Zm00008a003637
Cluster_0999	Zm00001d032047,Zm00001d032048	Cluster_0145	Zm00008a003645,Zm00008a003646
Cluster_0999	Zm00001d032047,Zm00001d032048	Cluster_0145	Zm00008a003645,Zm00008a003646
Cluster_1001	Zm00001d032087,Zm00001d032088,Zm00001d032091,Zm00001d032094	NA	Zm00008a003677
Cluster_1001	Zm00001d032087,Zm00001d032088,Zm00001d032091,Zm00001d032094	Cluster_0147	Zm00008a003678,Zm00008a003680,Zm00008a003682
Cluster_1001	Zm00001d032087,Zm00001d032088,Zm00001d032091,Zm00001d032094	Cluster_0147	Zm00008a003678,Zm00008a003680,Zm00008a003682
Cluster_1001	Zm00001d032087,Zm00001d032088,Zm00001d032091,Zm00001d032094	Cluster_0147	Zm00008a003678,Zm00008a003680,Zm00008a003682
Cluster_1002	Zm00001d032178,Zm00001d032179	Cluster_0148	Zm00008a003748,Zm00008a003753,Zm00008a003773
Cluster_1002	Zm00001d032178,Zm00001d032179	Cluster_0148	Zm00008a003748,Zm00008a003753,Zm00008a003773
Cluster_1004	Zm00001d032239,Zm00001d032240	NA	Zm00008a003808
Cluster_1004	Zm00001d032239,Zm00001d032240	NA	Zm00008a003809
Cluster_1005	Zm00001d032285,Zm00001d032287	Cluster_0149	Zm00008a003843,Zm00008a003845
Cluster_1005	Zm00001d032285,Zm00001d032287	Cluster_0149	Zm00008a003843,Zm00008a003845
Cluster_1007	Zm00001d032405,Zm00001d032406	Cluster_0150	Zm00008a003940,Zm00008a003941
Cluster_1007	Zm00001d032405,Zm00001d032406	Cluster_0150	Zm00008a003940,Zm00008a003941
Cluster_1008	Zm00001d032422,Zm00001d032423	NA	Zm00008a003952
Cluster_1008	Zm00001d032422,Zm00001d032423	NA	Zm00008a003952
Cluster_1009	Zm00001d032447,Zm00001d032448	NA	Zm00008a003977
Cluster_1010	Zm00001d032458,Zm00001d032459	Cluster_0151	Zm00008a003986,Zm00008a003987,Zm00008a003994
Cluster_1010	Zm00001d032458,Zm00001d032459	Cluster_0151	Zm00008a003986,Zm00008a003987,Zm00008a003994
Cluster_1011	Zm00001d032491,Zm00001d032492	Cluster_0152	Zm00008a004010,Zm00008a004011
Cluster_1011	Zm00001d032491,Zm00001d032492	Cluster_0152	Zm00008a004010,Zm00008a004011
Cluster_1011	Zm00001d032491,Zm00001d032492	Cluster_0152	Zm00008a004010,Zm00008a004011
Cluster_1012	Zm00001d032535,Zm00001d032536	NA	Zm00008a004048
Cluster_1012	Zm00001d032535,Zm00001d032536	NA	Zm00008a004050
Cluster_1013	Zm00001d032548,Zm00001d032556	Cluster_0156	Zm00008a004059,Zm00008a004064
Cluster_1013	Zm00001d032548,Zm00001d032556	Cluster_0156	Zm00008a004059,Zm00008a004064
Cluster_1014	Zm00001d032550,Zm00001d032557	Cluster_0156	Zm00008a004059,Zm00008a004064
Cluster_1014	Zm00001d032550,Zm00001d032557	Cluster_0157	Zm00008a004060,Zm00008a004065
Cluster_1014	Zm00001d032550,Zm00001d032557	Cluster_0157	Zm00008a004060,Zm00008a004065
Cluster_1015	Zm00001d032605,Zm00001d032608	Cluster_0158	Zm00008a004093,Zm00008a004094
Cluster_1015	Zm00001d032605,Zm00001d032608	Cluster_0158	Zm00008a004093,Zm00008a004094
Cluster_1016	Zm00001d032624,Zm00001d032626,Zm00001d032628,Zm00001d032629,Zm00001d032630,Zm00001d032631	Cluster_0159	Zm00008a004108,Zm00008a004110,Zm00008a004111,Zm00008a004112,Zm00008a004113,Zm00008a004114,Zm00008a004115
Cluster_1016	Zm00001d032624,Zm00001d032626,Zm00001d032628,Zm00001d032629,Zm00001d032630,Zm00001d032631	Cluster_0159	Zm00008a004108,Zm00008a004110,Zm00008a004111,Zm00008a004112,Zm00008a004113,Zm00008a004114,Zm00008a004115
Cluster_1016	Zm00001d032624,Zm00001d032626,Zm00001d032628,Zm00001d032629,Zm00001d032630,Zm00001d032631	Cluster_0159	Zm00008a004108,Zm00008a004110,Zm00008a004111,Zm00008a004112,Zm00008a004113,Zm00008a004114,Zm00008a004115
Cluster_1016	Zm00001d032624,Zm00001d032626,Zm00001d032628,Zm00001d032629,Zm00001d032630,Zm00001d032631	Cluster_0159	Zm00008a004108,Zm00008a004110,Zm00008a004111,Zm00008a004112,Zm00008a004113,Zm00008a004114,Zm00008a004115
Cluster_1016	Zm00001d032624,Zm00001d032626,Zm00001d032628,Zm00001d032629,Zm00001d032630,Zm00001d032631	Cluster_0159	Zm00008a004108,Zm00008a004110,Zm00008a004111,Zm00008a004112,Zm00008a004113,Zm00008a004114,Zm00008a004115
Cluster_1016	Zm00001d032624,Zm00001d032626,Zm00001d032628,Zm00001d032629,Zm00001d032630,Zm00001d032631	Cluster_0159	Zm00008a004108,Zm00008a004110,Zm00008a004111,Zm00008a004112,Zm00008a004113,Zm00008a004114,Zm00008a004115
Cluster_1017	Zm00001d032691,Zm00001d032692	Cluster_0160	Zm00008a004167,Zm00008a004168,Zm00008a004169
Cluster_1017	Zm00001d032691,Zm00001d032692	Cluster_0160	Zm00008a004167,Zm00008a004168,Zm00008a004169
Cluster_1018	Zm00001d032719,Zm00001d032721	Cluster_0161	Zm00008a004190,Zm00008a004192
Cluster_1018	Zm00001d032719,Zm00001d032721	Cluster_0161	Zm00008a004190,Zm00008a004192
Cluster_1018	Zm00001d032719,Zm00001d032721	Cluster_0161	Zm00008a004190,Zm00008a004192
Cluster_1019	Zm00001d032740,Zm00001d032744	Cluster_0162	Zm00008a004214,Zm00008a004215
Cluster_1019	Zm00001d032740,Zm00001d032744	Cluster_0162	Zm00008a004214,Zm00008a004215
Cluster_1019	Zm00001d032740,Zm00001d032744	Cluster_0162	Zm00008a004214,Zm00008a004215
Cluster_1020	Zm00001d032750,Zm00001d032753	Cluster_0164	Zm00008a004219,Zm00008a004220
Cluster_1020	Zm00001d032750,Zm00001d032753	Cluster_0164	Zm00008a004219,Zm00008a004220
Cluster_1020	Zm00001d032750,Zm00001d032753	Cluster_0164	Zm00008a004219,Zm00008a004220
Cluster_1021	Zm00001d032791,Zm00001d032794,Zm00001d032795,Zm00001d032797	Cluster_0165	Zm00008a004248,Zm00008a004250,Zm00008a004253
Cluster_1021	Zm00001d032791,Zm00001d032794,Zm00001d032795,Zm00001d032797	Cluster_0165	Zm00008a004248,Zm00008a004250,Zm00008a004253
Cluster_1021	Zm00001d032791,Zm00001d032794,Zm00001d032795,Zm00001d032797	Cluster_0165	Zm00008a004248,Zm00008a004250,Zm00008a004253
Cluster_1021	Zm00001d032791,Zm00001d032794,Zm00001d032795,Zm00001d032797	Cluster_0165	Zm00008a004248,Zm00008a004250,Zm00008a004253
Cluster_1023	Zm00001d032830,Zm00001d032831	NA	Zm00008a004276
Cluster_1023	Zm00001d032830,Zm00001d032831	NA	Zm00008a004276
Cluster_1024	Zm00001d032836,Zm00001d032837	Cluster_0166	Zm00008a004280,Zm00008a004281
Cluster_1024	Zm00001d032836,Zm00001d032837	Cluster_0166	Zm00008a004280,Zm00008a004281
Cluster_1024	Zm00001d032836,Zm00001d032837	Cluster_0166	Zm00008a004280,Zm00008a004281
Cluster_1025	Zm00001d032843,Zm00001d032847	NA	Zm00008a004283
Cluster_1025	Zm00001d032843,Zm00001d032847	NA	Zm00008a004283
Cluster_1026	Zm00001d032868,Zm00001d032869,Zm00001d032870	Cluster_0167	Zm00008a004294,Zm00008a004295,Zm00008a004296
Cluster_1026	Zm00001d032868,Zm00001d032869,Zm00001d032870	Cluster_0167	Zm00008a004294,Zm00008a004295,Zm00008a004296
Cluster_1026	Zm00001d032868,Zm00001d032869,Zm00001d032870	Cluster_0167	Zm00008a004294,Zm00008a004295,Zm00008a004296
Cluster_1026	Zm00001d032868,Zm00001d032869,Zm00001d032870	Cluster_0167	Zm00008a004294,Zm00008a004295,Zm00008a004296
