Duplicate_ID	Ancestral_Gene	B1_Genes	B2_Genes	P1_Genes	P2_Genes	B1_Ages	B2_Ages	P1_Ages	P2_Ages
Syntenic_Dup_0940	Sobic.008G086200	Zm00001d023797	Zm00001d041124,Zm00001d041136	Zm00008a036726	Zm00008a012073	NA	0.642464986446	NA	NA
Syntenic_Dup_0941	LOC_Os12g13910	Zm00001d023799,Zm00001d023800	NA	NA	NA	11.8169597489	NA	NA	NA
Syntenic_Dup_0942	Sobic.008G118600	Zm00001d023863	NA	Zm00008a036757,Zm00008a036773	NA	NA	NA	11.7230368611	NA
Syntenic_Dup_0943	Sobic.008G117600	Zm00001d023869,Zm00001d023870,Zm00001d023872,Zm00001d023873	NA	Zm00008a036780	NA	9.83151264071,9.83151264071,11.7417569205	NA	NA	NA
Syntenic_Dup_0944	Sobic.008G114200	Zm00001d023903,Zm00001d023905,Zm00001d023906	Zm00001d041712	Zm00008a036803,Zm00008a036805	Zm00008a012441,Zm00008a012442	0.956892831479,11.731221698	NA	1.87058855828	0.480040672143
Syntenic_Dup_0945	Sobic.008G113700	Zm00001d023904,Zm00001d023908	Zm00001d041711	Zm00008a036807	Zm00008a012440	7.90383773594	NA	NA	NA
Syntenic_Dup_0946	Sobic.008G111300	Zm00001d023939,Zm00001d023941	NA	Zm00008a036826,Zm00008a036829	NA	11.7276045726	NA	11.7276045726	NA
Syntenic_Dup_0947	Sobic.008G111100	Zm00001d023939,Zm00001d023941	NA	Zm00008a036826,Zm00008a036829	NA	11.7234490665	NA	11.7234490665	NA
Syntenic_Dup_0948	Sobic.008G080100	Zm00001d023994	NA	Zm00008a036863,Zm00008a036866	NA	NA	NA	11.7365304779	NA
Syntenic_Dup_0949	Sobic.007G095000	Zm00001d024068	Zm00001d050169,Zm00001d050170	Zm00008a036921	Zm00008a016033	NA	8.53354831738	NA	NA
Syntenic_Dup_0950	LOC_Os08g09450	Zm00001d024252,Zm00001d024265	NA	Zm00008a037062,Zm00008a037070	NA	11.7198176235	NA	11.7198176235	NA
Syntenic_Dup_0951	Sobic.007G075250	Zm00001d024302,Zm00001d024303	NA	Zm00008a037092,Zm00008a037093	NA	11.7246859018	NA	11.7246859018	NA
Syntenic_Dup_0952	Sobic.007G075301	Zm00001d024302,Zm00001d024303	NA	Zm00008a037092,Zm00008a037093	NA	11.7524228936	NA	11.7524228936	NA
Syntenic_Dup_0953	Sobic.007G081200	Zm00001d024349,Zm00001d024351	Zm00001d049350	Zm00008a037128,Zm00008a037131	Zm00008a015420	10.8000787998	NA	10.8000787998	NA
Syntenic_Dup_0954	Sobic.007G082500	Zm00001d024349,Zm00001d024351	NA	Zm00008a037128,Zm00008a037131	NA	11.7283553852	NA	11.7283553852	NA
Syntenic_Dup_0955	Sobic.007G085500	Zm00001d024378,Zm00001d024379,Zm00001d024382,Zm00001d024386,Zm00001d024392	Zm00001d050201	Zm00008a037148,Zm00008a037149,Zm00008a037152,Zm00008a037154	Zm00008a016068	11.7160126069,11.7160126069,0.546997150982,11.7160126069	NA	11.7160126069,2.58350235535,1.98923983185	NA
Syntenic_Dup_0956	Sobic.007G057800	Zm00001d024447,Zm00001d024454,Zm00001d024458	NA	NA	NA	5.94892272137,11.7229473529	NA	NA	NA
Syntenic_Dup_0957	Sobic.007G055700	Zm00001d024477,Zm00001d024478,Zm00001d024479,Zm00001d024481,Zm00001d024486	NA	Zm00008a037210	NA	1.42132147979,1.42132147979,0.0578202174079,11.7232053147	NA	NA	NA
Syntenic_Dup_0958	Sobic.007G046800	Zm00001d024548,Zm00001d024549	NA	NA	NA	11.7633744999	NA	NA	NA
Syntenic_Dup_0959	Sobic.007G043300	Zm00001d024594,Zm00001d024595	NA	Zm00008a037300	NA	0.108161704012	NA	NA	NA
Syntenic_Dup_0960	Sobic.007G041000	Zm00001d024607,Zm00001d024610,Zm00001d024611	NA	Zm00008a037315	NA	11.7440524683,11.7440524683	NA	NA	NA
Syntenic_Dup_0961	Sobic.007G040500	Zm00001d024607,Zm00001d024610,Zm00001d024611	NA	NA	NA	11.7132342024,1.89672871493	NA	NA	NA
Syntenic_Dup_0962	Sobic.007G040150	Zm00001d024615,Zm00001d024617,Zm00001d024619,Zm00001d024620	NA	Zm00008a037323	NA	9.60280544689,9.60280544689,11.7248671852	NA	NA	NA
Syntenic_Dup_0963	Sobic.007G039200	Zm00001d024627,Zm00001d024628	Zm00001d049581	Zm00008a037328	Zm00008a015581	11.7332299045	NA	NA	NA
Syntenic_Dup_0964	Sobic.007G035300	Zm00001d024664,Zm00001d024665	Zm00001d049601	Zm00008a037347,Zm00008a037348	Zm00008a015592	11.7089904466	NA	11.7089904466	NA
Syntenic_Dup_0965	LOC_Os08g04500	Zm00001d024667,Zm00001d024669	NA	Zm00008a037354	NA	1.71261821406	NA	NA	NA
Syntenic_Dup_0966	Sobic.007G032600	Zm00001d024693,Zm00001d024694,Zm00001d024695,Zm00001d024697	NA	Zm00008a037375,Zm00008a037376,Zm00008a037377	NA	7.53410708703,11.7212723302,11.7212723302	NA	11.7212723302,11.7212723302	NA
Syntenic_Dup_0967	Sobic.009G032000	Zm00001d024725,Zm00001d024726	Zm00001d010933	Zm00008a037406,Zm00008a037407	Zm00008a031775	8.61437809261	NA	8.61437809261	NA
Syntenic_Dup_0968	Sobic.009G032600	Zm00001d024734,Zm00001d024735,Zm00001d024738,Zm00001d024740	Zm00001d010924,Zm00001d010925,Zm00001d010926	Zm00008a037411,Zm00008a037412,Zm00008a037415,Zm00008a037416,Zm00008a037426,Zm00008a037428,Zm00008a037429,Zm00008a037430	Zm00008a031769	11.762088505,3.86559716232,6.83952546023	4.1178289872,9.08716188107	11.762088505,3.86559716232,1.56448927244,3.29422393836,0.384594488818,0.2564157577,0.682652429621	NA
Syntenic_Dup_0969	Sobic.009G032800	Zm00001d024734,Zm00001d024735,Zm00001d024738,Zm00001d024740	NA	Zm00008a037411,Zm00008a037412,Zm00008a037415,Zm00008a037416,Zm00008a037426,Zm00008a037428,Zm00008a037429,Zm00008a037430	NA	5.90373577472,11.7279730262,11.7279730262	NA	5.90373577472,11.7279730262,11.7279730262,9.95134310622,0.814759446852,0.515367762385,1.33129201961	NA
Syntenic_Dup_0970	Sobic.009G032900	Zm00001d024734,Zm00001d024735,Zm00001d024738,Zm00001d024740	NA	Zm00008a037411,Zm00008a037412,Zm00008a037415,Zm00008a037416,Zm00008a037426,Zm00008a037428,Zm00008a037429,Zm00008a037430	NA	1.10930126537,1.93426499017,11.7225764251	NA	1.10930126537,1.93426499017,4.26267585525,4.26267585525,0.17482801151,0.115471066812,0.298318358966	NA
Syntenic_Dup_0971	Sobic.009G033300	Zm00001d024745,Zm00001d024749,Zm00001d024750,Zm00001d024751,Zm00001d024752,Zm00001d024753	Zm00001d010924,Zm00001d010925,Zm00001d010926	Zm00008a037411,Zm00008a037412,Zm00008a037415,Zm00008a037416,Zm00008a037426,Zm00008a037428,Zm00008a037429,Zm00008a037430	NA	8.06691819384,0.864079280101,8.06691819384,8.06691819384,11.7249357588	11.7249357588,5.0759712877	2.13449698669,3.12526887047,1.46923259471,11.7249357588,8.06691819384,3.07767434102,11.7249357588	NA
Syntenic_Dup_0972	Sobic.009G034100	Zm00001d024759,Zm00001d024760,Zm00001d024761	NA	Zm00008a037437,Zm00008a037438,Zm00008a037439	NA	8.23987688523,0.403098917637	NA	9.24502120226,11.724279093	NA
Syntenic_Dup_0973	Sobic.009G035200	Zm00001d024770,Zm00001d024771	NA	Zm00008a037450,Zm00008a037451	NA	11.7440299012	NA	11.7440299012	NA
Syntenic_Dup_0974	Sobic.009G036800	Zm00001d024786	Zm00001d010899	Zm00008a037462	Zm00008a031752,Zm00008a031753	NA	NA	NA	11.7364856888
Syntenic_Dup_0975	Sobic.009G036900	Zm00001d024787	Zm00001d010901	Zm00008a037463	Zm00008a031752,Zm00008a031753	NA	NA	NA	11.7276582479
Syntenic_Dup_0976	Sobic.009G038000	Zm00001d024798,Zm00001d024799,Zm00001d024800,Zm00001d024802	NA	NA	NA	11.7325636058,4.89782137307,3.53398017529	NA	NA	NA
Syntenic_Dup_0977	Sobic.009G038100	Zm00001d024798,Zm00001d024799,Zm00001d024800,Zm00001d024802	Zm00001d010903	NA	Zm00008a031757	11.7142492602,11.7142492602,4.79419235761	NA	NA	NA
Syntenic_Dup_0978	Sobic.009G038200	Zm00001d024798,Zm00001d024799,Zm00001d024800,Zm00001d024802	NA	Zm00008a037470,Zm00008a037471	NA	4.65177589369,11.7268576497,11.7268576497	NA	11.7268576497	NA
Syntenic_Dup_0979	Sobic.009G038300	Zm00001d024798,Zm00001d024799,Zm00001d024800,Zm00001d024802	NA	Zm00008a037470,Zm00008a037471	NA	4.82173124979,6.78463790478,11.7329404771	NA	11.7329404771	NA
Syntenic_Dup_0980	Sobic.009G039200	Zm00001d024809,Zm00001d024810,Zm00001d024814	NA	Zm00008a037478,Zm00008a037480	NA	7.64664771084,0.93189077091	NA	11.7160991657	NA
Syntenic_Dup_0981	Sobic.009G043000	Zm00001d024835	Zm00001d010870,Zm00001d010871	Zm00008a037493	Zm00008a031739	NA	10.5913074887	NA	NA
Syntenic_Dup_0982	Sobic.009G043600	Zm00001d024839	Zm00001d010870,Zm00001d010871	Zm00008a037494	NA	NA	11.8574615231	NA	NA
Syntenic_Dup_0983	Sobic.009G044400	Zm00001d024843,Zm00001d024850,Zm00001d024851,Zm00001d024852,Zm00001d024853	NA	Zm00008a037498,Zm00008a037500,Zm00008a037501,Zm00008a037502	NA	11.7054577933,0.179034766385,7.62922125428,11.7054577933	NA	11.7054577933,4.11735216776,11.7054577933	NA
Syntenic_Dup_0984	LOC_Os08g08140	Zm00001d026382,Zm00001d026383	NA	Zm00008a038665	NA	11.7084672375	NA	NA	NA
Syntenic_Dup_0985	Sobic.001G542200	Zm00001d027281,Zm00001d027283	Zm00001d047087,Zm00001d047089,Zm00001d047090,Zm00001d047091,Zm00001d047093,Zm00001d047094,Zm00001d047096	Zm00008a000036,Zm00008a000040	Zm00008a035022,Zm00008a035023,Zm00008a035024,Zm00008a035026,Zm00008a035029,Zm00008a035030,Zm00008a035032	8.26921449593	9.06924288108,3.77249682425,3.77249682425,3.77249682425,0.629906680454,8.26921449593	11.7047144192	9.06924288108,2.31881536658,5.13241050394,3.63990736861,3.11666606799,3.63990736861
Syntenic_Dup_0986	Sobic.001G542100	Zm00001d027281,Zm00001d027283	Zm00001d047087,Zm00001d047089,Zm00001d047090,Zm00001d047091,Zm00001d047093,Zm00001d047094,Zm00001d047096	Zm00008a000036,Zm00008a000040	Zm00008a035027	10.9636472379	11.7234103579,6.96244419269,6.96244419269,6.96244419269,1.14067418989,11.7234103579	11.7234103579	NA
Syntenic_Dup_0987	Sobic.001G541400	Zm00001d027290,Zm00001d027291	NA	NA	NA	11.8172173469	NA	NA	NA
Syntenic_Dup_0988	Sobic.001G541300	Zm00001d027290,Zm00001d027291	NA	Zm00008a000045	NA	11.7266947091	NA	NA	NA
Syntenic_Dup_0989	Sobic.001G536100	Zm00001d027325	Zm00001d048521,Zm00001d048522	Zm00008a000077	Zm00008a036210	NA	1.78760024535	NA	NA
Syntenic_Dup_0990	Sobic.001G529100	Zm00001d027399	Zm00001d048484,Zm00001d048492	Zm00008a000135	Zm00008a036179	NA	2.74847044176	NA	NA
Syntenic_Dup_0991	Sobic.001G527700	Zm00001d027415	NA	Zm00008a000147,Zm00008a000149	NA	NA	NA	0.597672113691	NA
Syntenic_Dup_0992	Sobic.001G527500	Zm00001d027419	Zm00001d048478	Zm00008a000152	Zm00008a036172,Zm00008a036173	NA	NA	NA	11.7101310284
Syntenic_Dup_0993	Sobic.001G519800	Zm00001d027488,Zm00001d027489	NA	Zm00008a000211	NA	11.7430848495	NA	NA	NA
Syntenic_Dup_0994	Sobic.001G519700	Zm00001d027488,Zm00001d027489	NA	Zm00008a000212	NA	11.7333798613	NA	NA	NA
Syntenic_Dup_0995	Sobic.001G518000	Zm00001d027508,Zm00001d027509	Zm00001d048341,Zm00001d048342	Zm00008a000228,Zm00008a000229	Zm00008a036054	11.7320112011	6.58088664875	9.65485340307	NA
Syntenic_Dup_0996	Sobic.001G516000	Zm00001d027524,Zm00001d027525	NA	Zm00008a000248	NA	5.5562775913	NA	NA	NA
Syntenic_Dup_0997	Sobic.001G515400	Zm00001d027534,Zm00001d027535	NA	Zm00008a000256,Zm00008a000257	NA	10.3411312407	NA	11.7232124641	NA
Syntenic_Dup_0998	Sobic.001G514900	Zm00001d027534,Zm00001d027535	NA	Zm00008a000256,Zm00008a000257	NA	11.7266138374	NA	11.7266138374	NA
Syntenic_Dup_0999	Sobic.001G514100	Zm00001d027539,Zm00001d027540,Zm00001d027541,Zm00001d027542	Zm00001d048353,Zm00001d048354	Zm00008a000262,Zm00008a000263,Zm00008a000264	Zm00008a036063	10.058915345,11.7421752924,11.0363054526	10.058915345	7.66451537831,11.7421752924	NA
Syntenic_Dup_1000	Sobic.001G512600	Zm00001d027570,Zm00001d027571,Zm00001d027572	Zm00001d048359	Zm00008a000279,Zm00008a000280,Zm00008a000281	Zm00008a036067	0.961709319629,11.7325420292	NA	10.1381953911,7.4683826383	NA
Syntenic_Dup_1001	Sobic.001G512300	Zm00001d027578,Zm00001d027580	Zm00001d048362	Zm00008a000288	Zm00008a036072	4.21579816466	NA	NA	NA
Syntenic_Dup_1002	Sobic.001G510300	Zm00001d027599,Zm00001d027601	NA	Zm00008a000308,Zm00008a000309	NA	11.7130003688	NA	11.7130003688	NA
Syntenic_Dup_1003	Sobic.001G510400	Zm00001d027599,Zm00001d027601	Zm00001d048370	Zm00008a000308,Zm00008a000309	Zm00008a036081	11.7307074819	NA	11.7307074819	NA
Syntenic_Dup_1004	Sobic.001G509700	Zm00001d027610,Zm00001d027611	NA	Zm00008a000311,Zm00008a000312	NA	11.7420439558	NA	11.7420439558	NA
Syntenic_Dup_1005	Sobic.001G508532	Zm00001d027621,Zm00001d027622	NA	Zm00008a000318,Zm00008a000319	NA	11.7276301562	NA	11.7276301562	NA
Syntenic_Dup_1006	Sobic.001G508466	Zm00001d027621,Zm00001d027622	NA	Zm00008a000318,Zm00008a000319	NA	1.47999805082	NA	11.7247199782	NA
Syntenic_Dup_1007	Sobic.001G506300	Zm00001d027638,Zm00001d027639,Zm00001d027642,Zm00001d027643	Zm00001d048387,Zm00001d048389	Zm00008a000334,Zm00008a000335,Zm00008a000336,Zm00008a000338	Zm00008a036091	0.781461513733,1.0784183294,0.0657493365134	2.0808766103	0.781461513733,1.0784183294,11.7260243901	NA
Syntenic_Dup_1008	Sobic.001G506800	Zm00001d027638,Zm00001d027639,Zm00001d027642,Zm00001d027643	Zm00001d048387,Zm00001d048389	Zm00008a000334,Zm00008a000335,Zm00008a000336,Zm00008a000338	Zm00008a036088	11.728030281,11.728030281,0.42140912754	4.10798783353	11.728030281,11.728030281,6.32043329677	NA
Syntenic_Dup_1009	Sobic.001G503100	Zm00001d027678,Zm00001d027679	Zm00001d048401	Zm00008a000363,Zm00008a000364	Zm00008a036101	9.22873309856	NA	11.7387050397	NA
Syntenic_Dup_1010	Sobic.001G503000	Zm00001d027678,Zm00001d027679	Zm00001d048401	Zm00008a000363,Zm00008a000364	Zm00008a036101	10.4465715195	NA	11.732457526	NA
Syntenic_Dup_1011	Sobic.001G502500	Zm00001d027684,Zm00001d027685	NA	Zm00008a000368,Zm00008a000369	NA	11.7305027889	NA	11.7305027889	NA
Syntenic_Dup_1012	Sobic.001G502400	Zm00001d027684,Zm00001d027685	NA	Zm00008a000368,Zm00008a000369	NA	11.7330097766	NA	11.7330097766	NA
Syntenic_Dup_1013	Sobic.001G502300	Zm00001d027686,Zm00001d027687	NA	Zm00008a000370	NA	0.00567743285583	NA	NA	NA
Syntenic_Dup_1014	Sobic.001G499900	Zm00001d027717,Zm00001d027718	Zm00001d048418	Zm00008a000389	Zm00008a036114	7.03960596226	NA	NA	NA
Syntenic_Dup_1015	Sobic.001G499800	Zm00001d027717,Zm00001d027718	NA	Zm00008a000389	NA	11.7312246143	NA	NA	NA
Syntenic_Dup_1016	Sobic.001G492700	Zm00001d027819,Zm00001d027820,Zm00001d027821	NA	NA	NA	11.7235536187,4.18828736289	NA	NA	NA
Syntenic_Dup_1017	Sobic.001G488900	Zm00001d027852,Zm00001d027853	Zm00001d048312	Zm00008a000472	Zm00008a036028	3.8616988974	NA	NA	NA
Syntenic_Dup_1018	Sobic.001G488800	Zm00001d027852,Zm00001d027853	NA	Zm00008a039654	NA	11.7908726312	NA	NA	NA
Syntenic_Dup_1019	Sobic.001G488600	Zm00001d027855,Zm00001d027859	NA	Zm00008a000476,Zm00008a000479	NA	11.7697121028	NA	0.136068251398	NA
Syntenic_Dup_1020	Sobic.001G488400	Zm00001d027855,Zm00001d027859	Zm00001d048309	Zm00008a000476,Zm00008a000479	Zm00008a036023	7.63509984941	NA	11.7206676475	NA
Syntenic_Dup_1021	Sobic.001G487500	Zm00001d027864,Zm00001d027866	NA	Zm00008a000483	NA	11.8001922089	NA	NA	NA
Syntenic_Dup_1022	Sobic.001G487300	Zm00001d027864,Zm00001d027866	NA	Zm00008a000484	NA	11.8227607263	NA	NA	NA
Syntenic_Dup_1023	Sobic.001G486800	Zm00001d027870	Zm00001d048296,Zm00001d048297	Zm00008a000490	Zm00008a036014,Zm00008a036015	NA	8.05032787973	NA	8.05032787973
Syntenic_Dup_1024	Sobic.001G485400	Zm00001d027877	Zm00001d048288,Zm00001d048289	Zm00008a000497	Zm00008a036007	NA	0.639099613668	NA	NA
Syntenic_Dup_1025	Sobic.001G485200	Zm00001d027878	NA	Zm00008a000498,Zm00008a000499	NA	NA	NA	11.8121765364	NA
Syntenic_Dup_1026	Sobic.001G483900	Zm00001d027887,Zm00001d027888	NA	Zm00008a000506	NA	8.72514298166	NA	NA	NA
Syntenic_Dup_1027	Sobic.001G482800	Zm00001d027899,Zm00001d027900,Zm00001d027901	Zm00001d048263,Zm00001d048268	Zm00008a000515,Zm00008a000516,Zm00008a000517	Zm00008a035993	11.7515059327,9.43302651222	10.0085251806	11.7515059327,6.28751340151	NA
Syntenic_Dup_1028	Sobic.001G481850	Zm00001d027919	Zm00001d048253,Zm00001d048256	Zm00008a000531,Zm00008a000532,Zm00008a000534	Zm00008a035982,Zm00008a035983,Zm00008a035986	NA	0.872778749071	7.54878448277,3.46557371026	1.83762644174,1.83762644174
Syntenic_Dup_1029	Sobic.001G481700	Zm00001d027922	Zm00001d048252,Zm00001d048255	Zm00008a000538	Zm00008a035981,Zm00008a035985	NA	6.16881410616	NA	6.16881410616
Syntenic_Dup_1030	Sobic.001G480800	Zm00001d027934	Zm00001d048247	Zm00008a000543	Zm00008a035977,Zm00008a035984	NA	NA	NA	3.57006171477
Syntenic_Dup_1031	LOC_Os03g08720	Zm00001d027946,Zm00001d027948	NA	Zm00008a000554,Zm00008a000556	NA	0.760148352307	NA	3.48478812703	NA
Syntenic_Dup_1032	Sobic.001G478500	Zm00001d027954,Zm00001d027956	NA	Zm00008a000559	NA	3.26818359777	NA	NA	NA
Syntenic_Dup_1033	Sobic.001G478400	Zm00001d027955,Zm00001d027957	NA	Zm00008a000560	NA	11.792123805	NA	NA	NA
Syntenic_Dup_1034	Sobic.001G477100	Zm00001d027978,Zm00001d027979	Zm00001d048232	Zm00008a000579,Zm00008a000581	Zm00008a035964	5.21083034839	NA	5.21083034839	NA
Syntenic_Dup_1035	Sobic.001G475900	Zm00001d027995,Zm00001d027996	NA	Zm00008a000590,Zm00008a000591	NA	4.7982862945	NA	11.7096351925	NA
Syntenic_Dup_1036	Sobic.001G475800	Zm00001d027995,Zm00001d027996	NA	Zm00008a000590,Zm00008a000591	NA	1.72790630501	NA	11.7101313906	NA
Syntenic_Dup_1037	Sobic.001G475500	Zm00001d028002,Zm00001d028003	Zm00001d048222,Zm00001d048223	Zm00008a000596	Zm00008a035958	11.742716835	0.0195360633466	NA	NA
Syntenic_Dup_1038	Sobic.001G474500	Zm00001d028008,Zm00001d028009	Zm00001d048218	Zm00008a000603,Zm00008a000604	Zm00008a035955	2.61631266154	NA	2.61631266154	NA
Syntenic_Dup_1039	Sobic.001G473600	Zm00001d028020	Zm00001d048205,Zm00001d048207	Zm00008a000614	Zm00008a035942,Zm00008a035944,Zm00008a035946	NA	8.56341825426	NA	0.863551826911,1.81332625714
Syntenic_Dup_1040	Sobic.001G463301	Zm00001d028062,Zm00001d028063	NA	Zm00008a000639	NA	0.114114213744	NA	NA	NA
Syntenic_Dup_1041	Sobic.001G463400	Zm00001d028064	Zm00001d048135,Zm00001d048136	Zm00008a000640	Zm00008a035884	NA	2.16136128688	NA	NA
Syntenic_Dup_1042	Sobic.001G466000	Zm00001d028103	Zm00001d048151,Zm00001d048152	Zm00008a000670	Zm00008a035898,Zm00008a035899	NA	0.27373213289	NA	0.518620550745
Syntenic_Dup_1043	Sobic.001G467300	Zm00001d028117	Zm00001d048157,Zm00001d048158,Zm00001d048159	Zm00008a000681	Zm00008a035905,Zm00008a035906	NA	10.2730711645,7.1471639019	NA	7.1471639019
Syntenic_Dup_1044	Sobic.001G468000	Zm00001d028125	Zm00001d048166,Zm00001d048169	Zm00008a000687	Zm00008a035911	NA	3.84385160432	NA	NA
Syntenic_Dup_1045	Sobic.001G469500	Zm00001d028144,Zm00001d028151	Zm00001d048178	Zm00008a000705,Zm00008a000707	Zm00008a035920	4.56474537515	NA	11.7327520054	NA
Syntenic_Dup_1046	Sobic.001G470100	Zm00001d028159	Zm00001d048185	NA	Zm00008a035924,Zm00008a035925	NA	NA	NA	6.85586213894
Syntenic_Dup_1047	Sobic.001G470600	Zm00001d028162,Zm00001d028164	Zm00001d048187,Zm00001d048189	Zm00008a000714,Zm00008a000715	Zm00008a035927	5.70833058853	11.7373636562	11.5670712721	NA
Syntenic_Dup_1048	Sobic.001G470800	Zm00001d028162,Zm00001d028164	NA	Zm00008a000714,Zm00008a000715	NA	2.89542423226	NA	11.7305648538	NA
Syntenic_Dup_1049	Sobic.001G471200	Zm00001d028167	Zm00001d048191,Zm00001d048192	Zm00008a000722	Zm00008a035929,Zm00008a035930	NA	9.05804502156	NA	11.731901907
Syntenic_Dup_1050	Sobic.001G452200	Zm00001d028249,Zm00001d028252	NA	Zm00008a000795,Zm00008a000796	NA	0.886619165196	NA	11.7118641807	NA
Syntenic_Dup_1051	Sobic.001G452100	Zm00001d028249,Zm00001d028252	NA	Zm00008a000795,Zm00008a000796	NA	0.673807023284	NA	6.25754522852	NA
Syntenic_Dup_1052	Sobic.001G446500	Zm00001d028312,Zm00001d028314,Zm00001d028315	NA	Zm00008a000845,Zm00008a000846	NA	4.13614077885,11.7271644737	NA	4.78451424825	NA
Syntenic_Dup_1053	Sobic.001G444700	Zm00001d028347,Zm00001d028348,Zm00001d028349	NA	Zm00008a000869,Zm00008a000870	NA	11.7294600995,3.26769109154	NA	11.7294600995	NA
Syntenic_Dup_1054	Sobic.001G444500	Zm00001d028347,Zm00001d028348,Zm00001d028349	Zm00001d047984	Zm00008a000869,Zm00008a000870	Zm00008a035745	11.7075911965,11.7075911965	NA	11.7075911965	NA
Syntenic_Dup_1055	Sobic.001G444100	Zm00001d028354,Zm00001d028355	NA	Zm00008a000872,Zm00008a000873	NA	11.7062758721	NA	0.493417854902	NA
Syntenic_Dup_1056	Sobic.001G443900	Zm00001d028354,Zm00001d028355	NA	Zm00008a000872,Zm00008a000873	NA	11.7276508694	NA	11.7276508694	NA
Syntenic_Dup_1057	Sobic.001G443600	Zm00001d028356,Zm00001d028357	NA	Zm00008a000874,Zm00008a000875	NA	11.7209137652	NA	11.7209137652	NA
Syntenic_Dup_1058	Sobic.001G443500	Zm00001d028356,Zm00001d028357	NA	Zm00008a000874,Zm00008a000875	NA	11.7269896543	NA	11.7269896543	NA
Syntenic_Dup_1059	Sobic.001G442300	Zm00001d028367,Zm00001d028368	NA	Zm00008a000887,Zm00008a000890	NA	11.7196220035	NA	11.7196220035	NA
Syntenic_Dup_1060	Sobic.001G442200	Zm00001d028367,Zm00001d028368	NA	Zm00008a000887,Zm00008a000890	NA	11.7370507534	NA	11.7370507534	NA
Syntenic_Dup_1061	Sobic.001G439100	Zm00001d028399,Zm00001d028400	Zm00001d047938,Zm00001d047939	Zm00008a000918	Zm00008a035704,Zm00008a035705	11.7328760693	11.7328760693	NA	11.7328760693
Syntenic_Dup_1062	Sobic.001G438500	Zm00001d028405	Zm00001d047933,Zm00001d047934	Zm00008a000921	Zm00008a035700,Zm00008a035701	NA	7.43708051275	NA	11.7242279321
Syntenic_Dup_1063	Sobic.001G437000	Zm00001d028416	Zm00001d047916,Zm00001d047917	Zm00008a000932	Zm00008a035691	NA	7.42139139636	NA	NA
Syntenic_Dup_1064	Sobic.001G436500	Zm00001d028423	Zm00001d047916,Zm00001d047917	NA	Zm00008a035690	NA	10.2068614352	NA	NA
Syntenic_Dup_1065	Sobic.001G431600	Zm00001d028454,Zm00001d028455	NA	Zm00008a000991	NA	11.7366520271	NA	NA	NA
Syntenic_Dup_1066	Sobic.001G431900	Zm00001d028457	Zm00001d047884,Zm00001d047885,Zm00001d047886,Zm00001d047887	Zm00008a000987	Zm00008a035657,Zm00008a035658,Zm00008a035659,Zm00008a035660	NA	5.09638780386,0.0301446224544,3.03407466843	NA	1.62751799784,1.399018682,5.09638780386
Syntenic_Dup_1067	Sobic.001G432500	Zm00001d028465,Zm00001d028467,Zm00001d028469	NA	Zm00008a000976,Zm00008a000977,Zm00008a000980	NA	11.732478214,7.37302864787	NA	7.37302864787,11.732478214	NA
Syntenic_Dup_1068	Sobic.001G430500	Zm00001d028495,Zm00001d028497	NA	Zm00008a000999,Zm00008a001000	NA	11.7800627515	NA	11.7800627515	NA
Syntenic_Dup_1069	Sobic.001G426100	Zm00001d028554,Zm00001d028555,Zm00001d028556,Zm00001d028557,Zm00001d028561	Zm00001d047843	Zm00008a001037	Zm00008a035625	9.82913160704,1.89594348574,1.89594348574,2.26473473789	NA	NA	NA
Syntenic_Dup_1070	Sobic.001G425500	Zm00001d028554,Zm00001d028555,Zm00001d028556,Zm00001d028557,Zm00001d028561	Zm00001d047841	Zm00008a001039,Zm00008a001042	Zm00008a035623	11.7280505756,11.7280505756,11.7280505756,11.7280505756	NA	11.7280505756	NA
Syntenic_Dup_1071	Sobic.001G425100	Zm00001d028567	Zm00001d047837	Zm00008a001046,Zm00008a001047	Zm00008a035617	NA	NA	1.54156705172	NA
Syntenic_Dup_1072	Sobic.001G419400	Zm00001d028630,Zm00001d028639	Zm00001d047799	Zm00008a001093,Zm00008a001098	Zm00008a035588	11.7337665382	NA	11.7337665382	NA
Syntenic_Dup_1073	Sobic.001G418100	Zm00001d028653	Zm00001d047797	Zm00008a001110	Zm00008a035571,Zm00008a035587	NA	NA	NA	11.7179544139
Syntenic_Dup_1074	Sobic.001G415500	Zm00001d028668	Zm00001d047781,Zm00001d047782,Zm00001d047783,Zm00001d047784,Zm00001d047785	Zm00008a001126	NA	NA	0.00821675048477,0.000444501433504,11.7320486166,11.7320486166	NA	NA
Syntenic_Dup_1075	Sobic.001G414500	Zm00001d028679,Zm00001d028680	Zm00001d047772	Zm00008a001134,Zm00008a001135	Zm00008a035570	7.93275854805	NA	3.41997483188	NA
Syntenic_Dup_1076	Sobic.001G414400	Zm00001d028679,Zm00001d028680	NA	Zm00008a001134,Zm00008a001135	NA	3.82814455946	NA	11.718630489	NA
Syntenic_Dup_1077	Sobic.001G412800	Zm00001d028692	Zm00001d047765	Zm00008a001144,Zm00008a001145	Zm00008a035563	NA	NA	11.7258637934	NA
Syntenic_Dup_1078	Sobic.001G412700	Zm00001d028693	NA	Zm00008a001144,Zm00008a001145	NA	NA	NA	11.7576204838	NA
