Duplicate_ID	Anc_Gene	B1_Cluster	B2_Cluster	P1_Cluster	P2_Cluster	B1_Genes	B2_Genes	P1_Genes	P2_Genes
Syntenic_Dup_0924	Sobic.003G349700	Cluster_1399	Cluster_0350	Cluster_0521	Cluster_1201	Zm00001d042933,Zm00001d042934	Zm00001d012427,Zm00001d012430	Zm00008a013375,Zm00008a013376,Zm00008a013377	Zm00008a032941,Zm00008a032943
Syntenic_Dup_0925	Sobic.003G352700	Cluster_1398	NA	Cluster_0520	NA	Zm00001d042901,Zm00001d042905,Zm00001d042906	Zm00001d012408	Zm00008a013345,Zm00008a013348,Zm00008a013349	Zm00008a032923
Syntenic_Dup_0926	Sobic.003G354500	NA	Cluster_0349	NA	NA	Zm00001d042883	Zm00001d012399,Zm00001d012400	Zm00008a013336	Zm00008a032916
Syntenic_Dup_0927	Sobic.003G355500	Cluster_1397	NA	Cluster_0519	NA	Zm00001d042868,Zm00001d042869	NA	Zm00008a013329,Zm00008a013330	Zm00008a032907
Syntenic_Dup_0928	Sobic.003G355600	Cluster_1397	NA	Cluster_0519	NA	Zm00001d042868,Zm00001d042869	NA	Zm00008a013329,Zm00008a013330	NA
Syntenic_Dup_0929	Sobic.003G357900	NA	Cluster_0348	NA	Cluster_1199	NA	Zm00001d012363,Zm00001d012366,Zm00001d012368,Zm00001d012371,Zm00001d012373,Zm00001d012375,Zm00001d012377	NA	Zm00008a032883,Zm00008a032884,Zm00008a032885,Zm00008a032892,Zm00008a032894
Syntenic_Dup_0930	Sobic.003G360000	NA	NA	NA	Cluster_1198	Zm00001d042826	Zm00001d012333	Zm00008a013300	Zm00008a032862,Zm00008a032863
Syntenic_Dup_0931	Sobic.003G362400	Cluster_1396	Cluster_0346	Cluster_0518	Cluster_1197	Zm00001d042796,Zm00001d042799	Zm00001d012301,Zm00001d012306	Zm00008a013278,Zm00008a013279	Zm00008a032836,Zm00008a032841
Syntenic_Dup_0932	Sobic.003G363900	Cluster_1394	NA	Cluster_0517	NA	Zm00001d042768,Zm00001d042769,Zm00001d042770,Zm00001d042771	NA	Zm00008a013257,Zm00008a013259,Zm00008a013260	NA
Syntenic_Dup_0933	Sobic.003G366200	Cluster_1393	NA	Cluster_0516	NA	Zm00001d042748,Zm00001d042749,Zm00001d042750	Zm00001d012281	Zm00008a013239,Zm00008a013240,Zm00008a013241	NA
Syntenic_Dup_0934	Sobic.003G366700	Cluster_1392	NA	Cluster_0515	NA	Zm00001d042739,Zm00001d042740	NA	Zm00008a013234,Zm00008a013235	NA
Syntenic_Dup_0935	Sobic.003G371600	Cluster_1391	NA	Cluster_0514	NA	Zm00001d042680,Zm00001d042683,Zm00001d042684	Zm00001d012259	Zm00008a013189,Zm00008a013191	Zm00008a032810
Syntenic_Dup_0936	Sobic.003G373200	NA	Cluster_0345	NA	NA	NA	Zm00001d012249,Zm00001d012252	NA	Zm00008a032804
Syntenic_Dup_0937	Sobic.003G374100	Cluster_1390	NA	NA	NA	Zm00001d042654,Zm00001d042656	NA	Zm00008a040287	NA
Syntenic_Dup_0938	Sobic.003G375900	NA	Cluster_0344	NA	Cluster_1196	Zm00001d042636	Zm00001d012229,Zm00001d012231	Zm00008a013152	Zm00008a032783,Zm00008a032786
Syntenic_Dup_0939	Sobic.003G376000	NA	Cluster_0344	NA	Cluster_1196	NA	Zm00001d012229,Zm00001d012231	NA	Zm00008a032783,Zm00008a032786
Syntenic_Dup_0940	Sobic.003G383100	Cluster_1389	NA	Cluster_0512	NA	Zm00001d042561,Zm00001d042562,Zm00001d042563,Zm00001d042564,Zm00001d042568	NA	Zm00008a013085,Zm00008a013087,Zm00008a013089,Zm00008a013090	NA
Syntenic_Dup_0941	Sobic.003G383400	NA	Cluster_0343	NA	Cluster_1195	NA	Zm00001d012184,Zm00001d012185,Zm00001d012186,Zm00001d012187,Zm00001d012188	NA	Zm00008a032748,Zm00008a032749,Zm00008a032750,Zm00008a032751,Zm00008a032752
Syntenic_Dup_0942	Sobic.003G385500	Cluster_1388	NA	NA	NA	Zm00001d042540,Zm00001d042541	NA	Zm00008a013075	NA
Syntenic_Dup_0943	Sobic.003G388300	Cluster_1387	NA	Cluster_0511	NA	Zm00001d042511,Zm00001d042512	NA	Zm00008a013057,Zm00008a013058	NA
Syntenic_Dup_0944	Sobic.003G390900	NA	Cluster_0342	NA	Cluster_1194	Zm00001d042486	Zm00001d012147,Zm00001d012152	Zm00008a013035	Zm00008a032720,Zm00008a032721
Syntenic_Dup_0945	Sobic.003G396500	NA	Cluster_0340	NA	NA	Zm00001d042433	Zm00001d012092,Zm00001d012095	Zm00008a012986	Zm00008a032684
Syntenic_Dup_0946	Sobic.003G397300	NA	NA	NA	Cluster_1193	NA	Zm00001d012090	NA	Zm00008a032682,Zm00008a032683
Syntenic_Dup_0947	Sobic.003G397500	NA	NA	NA	Cluster_1193	NA	Zm00001d012088	NA	Zm00008a032682,Zm00008a032683
Syntenic_Dup_0948	Sobic.003G398900	Cluster_1385	NA	Cluster_0510	NA	Zm00001d042380,Zm00001d042389	NA	Zm00008a012956,Zm00008a012964	NA
Syntenic_Dup_0949	Sobic.003G399000	NA	NA	Cluster_0510	NA	Zm00001d042388	NA	Zm00008a012956,Zm00008a012964	NA
Syntenic_Dup_0950	Sobic.003G399600	NA	Cluster_0339	NA	NA	Zm00001d042383	Zm00001d012080,Zm00001d012081	Zm00008a012958	NA
Syntenic_Dup_0951	Sobic.003G399700	NA	Cluster_0339	NA	NA	Zm00001d042382	Zm00001d012080,Zm00001d012081	Zm00008a012957	NA
Syntenic_Dup_0952	Sobic.003G399800	NA	NA	Cluster_0510	NA	Zm00001d042381	Zm00001d012079	Zm00008a012956,Zm00008a012964	NA
Syntenic_Dup_0953	Sobic.003G399900	Cluster_1385	NA	Cluster_0510	Cluster_1192	Zm00001d042380,Zm00001d042389	NA	Zm00008a012956,Zm00008a012964	Zm00008a032670,Zm00008a032673
Syntenic_Dup_0954	Sobic.003G402600	NA	NA	NA	Cluster_1191	NA	Zm00001d012042	NA	Zm00008a032647,Zm00008a032649
Syntenic_Dup_0955	Sobic.003G404600	Cluster_1384	Cluster_0338	Cluster_0509	Cluster_1190	Zm00001d042336,Zm00001d042337	Zm00001d012021,Zm00001d012022	Zm00008a012916,Zm00008a012917	Zm00008a032623,Zm00008a032624,Zm00008a032625,Zm00008a032626,Zm00008a032627
Syntenic_Dup_0956	Sobic.003G404700	Cluster_1384	NA	Cluster_0509	Cluster_1190	Zm00001d042336,Zm00001d042337	Zm00001d012024	Zm00008a012916,Zm00008a012917	Zm00008a032623,Zm00008a032624,Zm00008a032625,Zm00008a032626,Zm00008a032627
Syntenic_Dup_0957	Sobic.003G406700	Cluster_1383	NA	Cluster_0508	NA	Zm00001d042315,Zm00001d042317	NA	Zm00008a012899,Zm00008a012900	NA
Syntenic_Dup_0958	Sobic.003G406800	Cluster_1383	NA	Cluster_0508	NA	Zm00001d042315,Zm00001d042317	NA	Zm00008a012899,Zm00008a012900	NA
Syntenic_Dup_0959	Sobic.003G410600	Cluster_1382	Cluster_0337	Cluster_0507	Cluster_1188	Zm00001d042276,Zm00001d042279,Zm00001d042281	Zm00001d011959,Zm00001d011964	Zm00008a012867,Zm00008a012869,Zm00008a012870	Zm00008a032579,Zm00008a032581
Syntenic_Dup_0960	Sobic.003G410900	Cluster_1381	NA	Cluster_0506	NA	Zm00001d042274,Zm00001d042275	NA	Zm00008a012865,Zm00008a012866	NA
Syntenic_Dup_0961	Sobic.003G414700	Cluster_1380	Cluster_0336	Cluster_0505	Cluster_1187	Zm00001d042237,Zm00001d042239	Zm00001d011924,Zm00001d011925,Zm00001d011926	Zm00008a012836,Zm00008a012837	Zm00008a032558,Zm00008a032559,Zm00008a032560
Syntenic_Dup_0962	Sobic.003G415000	Cluster_1380	Cluster_0336	Cluster_0505	Cluster_1187	Zm00001d042237,Zm00001d042239	Zm00001d011924,Zm00001d011925,Zm00001d011926	Zm00008a012836,Zm00008a012837	Zm00008a032558,Zm00008a032559,Zm00008a032560
Syntenic_Dup_0963	Sobic.003G415400	NA	Cluster_0335	NA	Cluster_1186	NA	Zm00001d011921,Zm00001d011922	NA	Zm00008a032555,Zm00008a032556
Syntenic_Dup_0964	Sobic.003G415500	NA	Cluster_0335	NA	Cluster_1186	NA	Zm00001d011921,Zm00001d011922	NA	Zm00008a032555,Zm00008a032556
Syntenic_Dup_0965	Sobic.003G415600	Cluster_1379	NA	NA	NA	Zm00001d042226,Zm00001d042229,Zm00001d042231	NA	Zm00008a012832	NA
Syntenic_Dup_0966	Sobic.003G417350	Cluster_1378	NA	Cluster_0504	NA	Zm00001d042204,Zm00001d042207,Zm00001d042209,Zm00001d042210	Zm00001d011917	Zm00008a012814,Zm00008a012815,Zm00008a012816	Zm00008a032551
Syntenic_Dup_0967	Sobic.003G417700	Cluster_1377	NA	NA	NA	Zm00001d042196,Zm00001d042197	NA	Zm00008a012809	NA
Syntenic_Dup_0968	Sobic.003G417800	Cluster_1377	NA	NA	NA	Zm00001d042196,Zm00001d042197	Zm00001d011915	NA	Zm00008a032550
Syntenic_Dup_0969	Sobic.003G419200	NA	NA	Cluster_0503	NA	Zm00001d042179	Zm00001d011903	Zm00008a012795,Zm00008a012796	Zm00008a032542
Syntenic_Dup_0970	Sobic.003G419900	Cluster_1376	NA	NA	NA	Zm00001d042172,Zm00001d042175,Zm00001d042178	Zm00001d011901	Zm00008a012793	Zm00008a032541
Syntenic_Dup_0971	Sobic.003G420201	Cluster_1375	NA	NA	NA	Zm00001d042169,Zm00001d042173	Zm00001d011899	NA	NA
Syntenic_Dup_0972	Sobic.003G421900	Cluster_1372	NA	Cluster_0500	NA	Zm00001d042138,Zm00001d042140,Zm00001d042141,Zm00001d042143	Zm00001d011886	Zm00008a012769,Zm00008a012770,Zm00008a012771,Zm00008a012773	Zm00008a032524
Syntenic_Dup_0973	Sobic.003G422600	Cluster_1371	NA	Cluster_0499	NA	Zm00001d042134,Zm00001d042135	NA	Zm00008a012765,Zm00008a012767	NA
Syntenic_Dup_0974	Sobic.003G423700	Cluster_1370	NA	Cluster_0498	NA	Zm00001d042128,Zm00001d042130	NA	Zm00008a012754,Zm00008a012757	NA
Syntenic_Dup_0975	Sobic.003G423800	Cluster_1370	NA	Cluster_0498	NA	Zm00001d042128,Zm00001d042130	NA	Zm00008a012754,Zm00008a012757	NA
Syntenic_Dup_0976	Sobic.003G424100	Cluster_1369	NA	Cluster_0497	NA	Zm00001d042122,Zm00001d042123,Zm00001d042125	NA	Zm00008a012746,Zm00008a012747,Zm00008a012750,Zm00008a012751	NA
Syntenic_Dup_0977	Sobic.003G425500	Cluster_1368	NA	Cluster_0496	NA	Zm00001d042107,Zm00001d042108	NA	Zm00008a012729,Zm00008a012730,Zm00008a012731,Zm00008a012732,Zm00008a012734,Zm00008a012737,Zm00008a012738	NA
Syntenic_Dup_0978	Sobic.003G426000	Cluster_1367	NA	Cluster_0496	NA	Zm00001d042095,Zm00001d042096,Zm00001d042098,Zm00001d042099,Zm00001d042102,Zm00001d042104	NA	Zm00008a012729,Zm00008a012730,Zm00008a012731,Zm00008a012732,Zm00008a012734,Zm00008a012737,Zm00008a012738	Zm00008a032513
Syntenic_Dup_0979	Sobic.003G428900	NA	NA	NA	Cluster_1183	NA	Zm00001d011846	NA	Zm00008a032484,Zm00008a032485
Syntenic_Dup_0980	Sobic.003G429000	NA	NA	NA	Cluster_1183	Zm00001d042061	Zm00001d011845	Zm00008a012704	Zm00008a032484,Zm00008a032485
Syntenic_Dup_0981	Sobic.003G432900	NA	NA	Cluster_0494	NA	Zm00001d042042	NA	Zm00008a012683,Zm00008a012684	NA
Syntenic_Dup_0982	Sobic.003G433900	NA	NA	NA	Cluster_1182	NA	Zm00001d011826	NA	Zm00008a032462,Zm00008a032463
Syntenic_Dup_0983	Sobic.003G434000	NA	NA	NA	Cluster_1182	NA	Zm00001d011825	NA	Zm00008a032462,Zm00008a032463
Syntenic_Dup_0984	Sobic.003G436800	Cluster_1366	NA	Cluster_0493	NA	Zm00001d042019,Zm00001d042022	NA	Zm00008a012664,Zm00008a012665	NA
Syntenic_Dup_0985	Sobic.003G437400	Cluster_1366	NA	Cluster_0493	NA	Zm00001d042019,Zm00001d042022	NA	Zm00008a012664,Zm00008a012665	NA
Syntenic_Dup_0986	Sobic.003G441601	Cluster_1364	NA	Cluster_0491	NA	Zm00001d041984,Zm00001d041985,Zm00001d041987	Zm00001d011793	Zm00008a012634,Zm00008a012635,Zm00008a012636	Zm00008a032444
Syntenic_Dup_0987	Sobic.004G002700	NA	NA	Cluster_0755	NA	Zm00001d014931	NA	Zm00008a020699,Zm00008a020700	NA
Syntenic_Dup_0988	Sobic.004G002800	NA	NA	Cluster_0755	NA	Zm00001d014932	Zm00001d054086	Zm00008a020699,Zm00008a020700	Zm00008a018937
Syntenic_Dup_0989	Sobic.004G002901	NA	Cluster_1757	NA	Cluster_0704	NA	Zm00001d054081,Zm00001d054085	NA	Zm00008a018930,Zm00008a018936
Syntenic_Dup_0990	Sobic.004G004400	Cluster_0425	NA	Cluster_0756	NA	Zm00001d014944,Zm00001d014945	NA	Zm00008a020706,Zm00008a020707	NA
Syntenic_Dup_0991	Sobic.004G006300	Cluster_0426	NA	Cluster_0757	NA	Zm00001d014954,Zm00001d014957	NA	Zm00008a020717,Zm00008a020718	NA
Syntenic_Dup_0992	Sobic.004G006700	NA	NA	NA	Cluster_0703	Zm00001d014961	Zm00001d054069	Zm00008a020725	Zm00008a018919,Zm00008a018920
Syntenic_Dup_0993	Sobic.004G007500	NA	NA	NA	Cluster_0703	NA	Zm00001d054067	NA	Zm00008a018919,Zm00008a018920
Syntenic_Dup_0994	Sobic.004G009100	NA	NA	Cluster_0759	NA	Zm00001d014972	NA	Zm00008a020735,Zm00008a020738	NA
Syntenic_Dup_0995	Sobic.004G009200	NA	Cluster_1756	NA	Cluster_0702	Zm00001d014976	Zm00001d054057,Zm00001d054060	Zm00008a020739	Zm00008a018911,Zm00008a018912
Syntenic_Dup_0996	Sobic.004G010200	NA	Cluster_1755	NA	NA	NA	Zm00001d054052,Zm00001d054054	NA	Zm00008a018909
Syntenic_Dup_0997	Sobic.004G011800	NA	Cluster_1754	NA	Cluster_0701	NA	Zm00001d054041,Zm00001d054042	NA	Zm00008a018901,Zm00008a018902
Syntenic_Dup_0998	Sobic.004G011900	NA	Cluster_1754	NA	Cluster_0701	NA	Zm00001d054041,Zm00001d054042	NA	Zm00008a018901,Zm00008a018902
Syntenic_Dup_0999	Sobic.004G012400	NA	NA	NA	Cluster_0699	NA	Zm00001d054037	NA	Zm00008a018880,Zm00008a018898
Syntenic_Dup_1000	Sobic.004G013100	Cluster_0428	NA	NA	NA	Zm00001d015005,Zm00001d015006	Zm00001d054017	Zm00008a020760	Zm00008a018891
Syntenic_Dup_1001	Sobic.004G014500	Cluster_0429	NA	NA	NA	Zm00001d015018,Zm00001d015019	NA	NA	NA
Syntenic_Dup_1002	Sobic.004G014700	Cluster_0429	NA	NA	NA	Zm00001d015018,Zm00001d015019	NA	Zm00008a020769	NA
Syntenic_Dup_1003	Sobic.004G018500	Cluster_0430	NA	NA	NA	Zm00001d015040,Zm00001d015043	Zm00001d053910	NA	NA
Syntenic_Dup_1004	Sobic.004G018800	NA	Cluster_1747	NA	NA	NA	Zm00001d053912,Zm00001d053913	NA	Zm00008a018810
Syntenic_Dup_1005	Sobic.004G018900	Cluster_0432	Cluster_1748	Cluster_0762	NA	Zm00001d015053,Zm00001d015054	Zm00001d053916,Zm00001d053918	Zm00008a020792,Zm00008a020793	Zm00008a018811
Syntenic_Dup_1006	Sobic.004G019500	Cluster_0431	NA	NA	NA	Zm00001d015041,Zm00001d015047,Zm00001d015052,Zm00001d015057	NA	Zm00008a020799	NA
Syntenic_Dup_1007	Sobic.004G019600	NA	NA	Cluster_0761	NA	Zm00001d015058	Zm00001d053919	Zm00008a020790,Zm00008a020802	Zm00008a018812
Syntenic_Dup_1008	Sobic.004G022300	Cluster_0433	NA	Cluster_0764	NA	Zm00001d015068,Zm00001d015070,Zm00001d015072,Zm00001d015075,Zm00001d015076,Zm00001d015077,Zm00001d015079	NA	Zm00008a020813,Zm00008a020814	NA
Syntenic_Dup_1009	Sobic.004G022950	Cluster_0433	Cluster_1749	Cluster_0764	Cluster_0697	Zm00001d015068,Zm00001d015070,Zm00001d015072,Zm00001d015075,Zm00001d015076,Zm00001d015077,Zm00001d015079	Zm00001d053933,Zm00001d053934	Zm00008a020813,Zm00008a020814	Zm00008a018822,Zm00008a018823
Syntenic_Dup_1010	Sobic.004G023500	NA	Cluster_1750	NA	NA	NA	Zm00001d053940,Zm00001d053943	NA	NA
Syntenic_Dup_1011	Sobic.004G023900	NA	Cluster_1751	NA	NA	Zm00001d015088	Zm00001d053941,Zm00001d053950,Zm00001d053960	Zm00008a020819	Zm00008a018832
Syntenic_Dup_1012	Sobic.004G031800	Cluster_0436	NA	Cluster_0765	NA	Zm00001d015174,Zm00001d015175	Zm00001d053994	Zm00008a020872,Zm00008a020873	Zm00008a018864
Syntenic_Dup_1013	Sobic.004G031900	Cluster_0436	NA	Cluster_0765	NA	Zm00001d015174,Zm00001d015175	NA	Zm00008a020872,Zm00008a020873	NA
Syntenic_Dup_1014	Sobic.004G036100	Cluster_0437	NA	Cluster_0766	NA	Zm00001d015216,Zm00001d015217,Zm00001d015220,Zm00001d015224	NA	Zm00008a020906,Zm00008a020910	NA
Syntenic_Dup_1015	Sobic.004G037200	Cluster_0438	NA	NA	NA	Zm00001d015234,Zm00001d015239	Zm00001d053889	Zm00008a020916	Zm00008a018795
Syntenic_Dup_1016	Sobic.004G045300	NA	Cluster_1746	NA	NA	Zm00001d015300	Zm00001d053865,Zm00001d053866,Zm00001d053867	Zm00008a020961	Zm00008a018763
Syntenic_Dup_1017	Sobic.004G050100	NA	Cluster_1745	NA	NA	Zm00001d015327	Zm00001d053834,Zm00001d053838	NA	Zm00008a018742
Syntenic_Dup_1018	Sobic.004G050700	NA	Cluster_1744	NA	NA	Zm00001d015331	Zm00001d053829,Zm00001d053830	Zm00008a020986	Zm00008a018734
Syntenic_Dup_1019	Sobic.004G054700	Cluster_0440	NA	Cluster_0769	NA	Zm00001d015367,Zm00001d015372	NA	Zm00008a021016,Zm00008a021018	NA
Syntenic_Dup_1020	Sobic.004G056700	NA	Cluster_1743	NA	NA	NA	Zm00001d053792,Zm00001d053797	NA	NA
Syntenic_Dup_1021	Sobic.004G059000	NA	Cluster_1741	NA	NA	NA	Zm00001d053770,Zm00001d053772	Zm00008a021052	Zm00008a018693
Syntenic_Dup_1022	Sobic.004G065100	Cluster_0442	NA	Cluster_0771	NA	Zm00001d015495,Zm00001d015499	NA	Zm00008a021110,Zm00008a021113	NA
Syntenic_Dup_1023	Sobic.004G068600	Cluster_0444	NA	Cluster_0773	NA	Zm00001d015578,Zm00001d015579,Zm00001d015589,Zm00001d015592	NA	Zm00008a021163,Zm00008a021166,Zm00008a021171,Zm00008a021173	NA
Syntenic_Dup_1024	Sobic.004G068800	Cluster_0444	NA	Cluster_0773	NA	Zm00001d015578,Zm00001d015579,Zm00001d015589,Zm00001d015592	NA	Zm00008a021163,Zm00008a021166,Zm00008a021171,Zm00008a021173	NA
Syntenic_Dup_1025	Sobic.004G072400	Cluster_0445	NA	Cluster_0774	NA	Zm00001d015636,Zm00001d015637	NA	Zm00008a021202,Zm00008a021204	NA
Syntenic_Dup_1026	Sobic.004G072900	Cluster_0445	NA	Cluster_0774	NA	Zm00001d015636,Zm00001d015637	NA	Zm00008a021202,Zm00008a021204	NA
Syntenic_Dup_1027	Sobic.004G076100	NA	NA	Cluster_0778	NA	Zm00001d015884	Zm00001d053695	Zm00008a021354,Zm00008a021359	Zm00008a018629
Syntenic_Dup_1028	Sobic.004G078000	NA	Cluster_1740	NA	Cluster_0694	Zm00001d015856	Zm00001d053684,Zm00001d053685	Zm00008a021337	Zm00008a018622,Zm00008a018623
Syntenic_Dup_1029	Sobic.004G080000	Cluster_0447	NA	Cluster_0777	NA	Zm00001d015820,Zm00001d015821,Zm00001d015825	Zm00001d053662	Zm00008a021321,Zm00008a021323	Zm00008a018608
Syntenic_Dup_1030	Sobic.004G089300	Cluster_0465	NA	Cluster_0795	NA	Zm00001d016395,Zm00001d016396	Zm00001d053603	Zm00008a021709,Zm00008a021711	Zm00008a018558
Syntenic_Dup_1031	Sobic.004G090100	NA	Cluster_1738	NA	NA	NA	Zm00001d053599,Zm00001d053600	NA	NA
Syntenic_Dup_1032	Sobic.004G093000	NA	Cluster_1737	NA	Cluster_0692	NA	Zm00001d053587,Zm00001d053588	NA	Zm00008a018544,Zm00008a018545
Syntenic_Dup_1033	Sobic.004G093100	NA	Cluster_1737	NA	Cluster_0692	NA	Zm00001d053587,Zm00001d053588	NA	Zm00008a018544,Zm00008a018545
Syntenic_Dup_1034	Sobic.004G093900	NA	Cluster_1736	NA	NA	NA	Zm00001d053578,Zm00001d053579	NA	Zm00008a018539
Syntenic_Dup_1035	Sobic.004G097000	Cluster_0463	NA	Cluster_0792	NA	Zm00001d016306,Zm00001d016307	Zm00001d053562	Zm00008a021665,Zm00008a021666	Zm00008a018528
Syntenic_Dup_1036	Sobic.004G097100	Cluster_0463	NA	Cluster_0792	NA	Zm00001d016306,Zm00001d016307	Zm00001d053562	Zm00008a021665,Zm00008a021666	Zm00008a018528
Syntenic_Dup_1037	Sobic.004G100500	Cluster_0462	NA	Cluster_0790	NA	Zm00001d016260,Zm00001d016262	NA	Zm00008a021631,Zm00008a021635	NA
Syntenic_Dup_1038	Sobic.004G100700	Cluster_0462	NA	Cluster_0790	NA	Zm00001d016260,Zm00001d016262	NA	Zm00008a021631,Zm00008a021635	NA
Syntenic_Dup_1039	Sobic.004G102100	NA	NA	Cluster_0787	NA	Zm00001d016242	NA	Zm00008a021582,Zm00008a021615	NA
Syntenic_Dup_1040	Sobic.004G103400	Cluster_0461	NA	Cluster_0789	NA	Zm00001d016219,Zm00001d016220	NA	Zm00008a021598,Zm00008a021599	NA
Syntenic_Dup_1041	Sobic.004G103600	Cluster_0460	NA	NA	NA	Zm00001d016203,Zm00001d016207	NA	Zm00008a021587	NA
Syntenic_Dup_1042	Sobic.004G104800	NA	NA	Cluster_0787	NA	Zm00001d016197	NA	Zm00008a021582,Zm00008a021615	NA
Syntenic_Dup_1043	Sobic.004G105500	Cluster_0459	NA	NA	NA	Zm00001d016180,Zm00001d016181	Zm00001d053552	Zm00008a021573	Zm00008a018517
Syntenic_Dup_1044	Sobic.004G106000	Cluster_0458	NA	NA	NA	Zm00001d016177,Zm00001d016179,Zm00001d016182,Zm00001d016185	Zm00001d053554	Zm00008a021574	Zm00008a018519
Syntenic_Dup_1045	Sobic.004G106600	NA	Cluster_1734	NA	Cluster_0690	NA	Zm00001d053513,Zm00001d053514	NA	Zm00008a018481,Zm00008a018482
Syntenic_Dup_1046	Sobic.004G107600	Cluster_0457	NA	NA	NA	Zm00001d016158,Zm00001d016159	NA	NA	NA
Syntenic_Dup_1047	Sobic.004G109400	Cluster_0456	NA	Cluster_0784	NA	Zm00001d016136,Zm00001d016137,Zm00001d016139,Zm00001d016140,Zm00001d016142,Zm00001d016143,Zm00001d016145	NA	Zm00008a021520,Zm00008a021538,Zm00008a021539,Zm00008a021540,Zm00008a021541,Zm00008a021542,Zm00008a021543,Zm00008a021546	NA
Syntenic_Dup_1048	Sobic.004G109600	Cluster_0456	NA	Cluster_0784	NA	Zm00001d016136,Zm00001d016137,Zm00001d016139,Zm00001d016140,Zm00001d016142,Zm00001d016143,Zm00001d016145	NA	Zm00008a021520,Zm00008a021538,Zm00008a021539,Zm00008a021540,Zm00008a021541,Zm00008a021542,Zm00008a021543,Zm00008a021546	NA
Syntenic_Dup_1049	Sobic.004G109900	Cluster_0456	NA	Cluster_0784	NA	Zm00001d016136,Zm00001d016137,Zm00001d016139,Zm00001d016140,Zm00001d016142,Zm00001d016143,Zm00001d016145	NA	Zm00008a021520,Zm00008a021538,Zm00008a021539,Zm00008a021540,Zm00008a021541,Zm00008a021542,Zm00008a021543,Zm00008a021546	NA
Syntenic_Dup_1050	Sobic.004G110200	Cluster_0456	NA	Cluster_0784	NA	Zm00001d016136,Zm00001d016137,Zm00001d016139,Zm00001d016140,Zm00001d016142,Zm00001d016143,Zm00001d016145	NA	Zm00008a021520,Zm00008a021538,Zm00008a021539,Zm00008a021540,Zm00008a021541,Zm00008a021542,Zm00008a021543,Zm00008a021546	NA
Syntenic_Dup_1051	Sobic.004G110300	Cluster_0456	Cluster_1733	Cluster_0784	Cluster_0689	Zm00001d016136,Zm00001d016137,Zm00001d016139,Zm00001d016140,Zm00001d016142,Zm00001d016143,Zm00001d016145	Zm00001d053433,Zm00001d053434,Zm00001d053435	Zm00008a021520,Zm00008a021538,Zm00008a021539,Zm00008a021540,Zm00008a021541,Zm00008a021542,Zm00008a021543,Zm00008a021546	Zm00008a018465,Zm00008a018466
Syntenic_Dup_1052	Sobic.004G110400	Cluster_0456	Cluster_1733	Cluster_0784	NA	Zm00001d016136,Zm00001d016137,Zm00001d016139,Zm00001d016140,Zm00001d016142,Zm00001d016143,Zm00001d016145	Zm00001d053433,Zm00001d053434,Zm00001d053435	Zm00008a021520,Zm00008a021538,Zm00008a021539,Zm00008a021540,Zm00008a021541,Zm00008a021542,Zm00008a021543,Zm00008a021546	Zm00008a018464
Syntenic_Dup_1053	Sobic.004G113300	NA	Cluster_1732	NA	Cluster_0688	NA	Zm00001d053401,Zm00001d053402,Zm00001d053403	NA	Zm00008a018445,Zm00008a018446,Zm00008a018447
Syntenic_Dup_1054	Sobic.004G113900	NA	NA	NA	Cluster_0687	NA	Zm00001d053395	NA	Zm00008a018439,Zm00008a018440
Syntenic_Dup_1055	Sobic.004G114200	NA	NA	Cluster_0784	NA	Zm00001d016104	NA	Zm00008a021520,Zm00008a021538,Zm00008a021539,Zm00008a021540,Zm00008a021541,Zm00008a021542,Zm00008a021543,Zm00008a021546	NA
Syntenic_Dup_1056	Sobic.004G114500	NA	NA	NA	Cluster_0687	Zm00001d016103	Zm00001d053393	Zm00008a021519	Zm00008a018439,Zm00008a018440
Syntenic_Dup_1057	Sobic.004G119900	Cluster_0452	NA	Cluster_0782	NA	Zm00001d016022,Zm00001d016024,Zm00001d016025,Zm00001d016027,Zm00001d016035	NA	Zm00008a021455,Zm00008a021456,Zm00008a021464,Zm00008a021476,Zm00008a021477,Zm00008a021479	NA
Syntenic_Dup_1058	Sobic.004G123400	NA	NA	Cluster_0781	NA	Zm00001d016000	NA	Zm00008a021436,Zm00008a021437	NA
Syntenic_Dup_1059	Sobic.004G127600	Cluster_0451	NA	NA	NA	Zm00001d015975,Zm00001d015976	NA	Zm00008a021415	NA
Syntenic_Dup_1060	Sobic.004G129900	Cluster_0450	NA	Cluster_0780	NA	Zm00001d015963,Zm00001d015964	NA	Zm00008a021403,Zm00008a021404	NA
Syntenic_Dup_1061	Sobic.004G144500	Cluster_0467	NA	Cluster_0798	NA	Zm00001d016476,Zm00001d016477	NA	Zm00008a021779,Zm00008a021780	NA
Syntenic_Dup_1062	Sobic.004G154400	NA	NA	NA	Cluster_0634	Zm00001d016561	Zm00001d050557	Zm00008a021839	Zm00008a016389,Zm00008a016390
Syntenic_Dup_1063	Sobic.004G154600	NA	NA	Cluster_0799	NA	Zm00001d016564	NA	Zm00008a021840,Zm00008a021841	NA
Syntenic_Dup_1064	Sobic.004G155100	NA	NA	NA	Cluster_0634	Zm00001d016566	NA	Zm00008a021842	Zm00008a016389,Zm00008a016390
Syntenic_Dup_1065	Sobic.004G155300	Cluster_0468	NA	Cluster_0800	NA	Zm00001d016567,Zm00001d016568	NA	Zm00008a021843,Zm00008a021844	NA
